timestamp,x,y,z
,0,0,0
2994340,0.2656128,9.667349,0.088537596
,0.24646953,9.688885,0.026321989
,0.23211208,9.624276,0.052643977
,0.2057901,9.619491,0.07657306
,0.17468229,9.432844,0.15553902
,0.17228939,9.7415285,-0.05025107
,0.13878867,9.715207,-0.023929082
,0.11485959,9.614705,0.1196454
2994378,0.09571633,9.60274,0.045465253
,0.05025107,9.576418,-0.021536173
,0.13160995,9.7176,-0.026321989
,0.1196454,9.669742,0.06460852
,0.1196454,9.595561,0.06221561
,0.12443122,9.650599,0.040679436
,0.14118157,9.667349,0.047858164
,0.14357449,9.60274,0.13639577
2994416,0.21296883,9.648206,0.07657306
,0.19143265,9.609919,0.069394335
,0.2392908,9.643419,0.06221561
,0.21775463,9.626669,0.12203831
,0.24407662,9.66017,0.07896597
,0.22732627,9.650599,0.13639577
,0.28236315,9.595561,0.043072347
,0.24168372,9.605133,0.045465253
2994455,0.27997026,9.621883,0.07418015
,0.17228939,9.607526,0.033500712
,0.16511066,9.614705,0.033500712
,0.17707519,9.58599,0.110073775
,0.15075321,9.578811,0.09093051
,0.17946811,9.629062,0.13878867
,0.18425392,9.638634,0.1483603
,0.21536173,9.490273,0.2057901
2994494,0.21296883,9.5500965,0.05025107
,0.17707519,9.763065,-0.15314612
,0.15075321,9.760673,-0.07418015
,0.15793194,9.672134,0.08375178
,0.22254045,9.679314,0.05025107
,0.21536173,9.672134,0.16511066
,0.25364825,9.621883,0.1483603
,0.28475606,9.5907755,0.031107806
2994532,0.22971918,9.588383,-0.047858164
,0.19621846,9.595561,-0.026321989
,0.14118157,9.6410265,-0.07418015
,0.12443122,9.703242,-0.11246668
,0.11246668,9.777423,0.031107806
,0.18664683,9.758279,0.057429794
,0.16032484,9.751101,0.06460852
,0.16750357,9.729565,-0.011964541
2994571,0.15553902,9.684099,0.031107806
,0.1483603,9.638634,0.007178724
,0.14357449,9.56924,-0.011964541
,0.107680865,9.581204,-0.055036888
,0.1172525,9.554882,-0.071787246
,0.15314612,9.5500965,-0.09571633
,0.18186101,9.559668,-0.004785816
,0.2057901,9.521381,0.002392908
2994609,0.19861138,9.581204,0.033500712
,0.21057591,9.56924,0.028714897
,0.234505,9.614705,0.023929082
,0.24646953,9.681706,-0.002392908
,0.27757734,9.631455,0.021536173
,0.2991135,9.681706,0.035893623
,0.25604117,9.667349,0.09332342
,0.22254045,9.705635,0.043072347
2994647,0.24168372,9.643419,0.016750356
,0.2584341,9.650599,0.021536173
,0.21536173,9.626669,0.021536173
,0.25125536,9.614705,0.021536173
,0.17946811,9.657777,0.011964541
,0.21296883,9.6410265,0.047858164
,0.2392908,9.674527,0.011964541
,0.22493336,9.6410265,0.0598227
2994686,0.22254045,9.655384,0.067001425
,0.208183,9.655384,0.09571633
,0.22254045,9.633848,0.12921704
,0.19382556,9.645813,0.071787246
,0.234505,9.655384,0.023929082
,0.24168372,9.631455,0.035893623
,0.19621846,9.645813,0.07418015
,0.22493336,9.657777,0.023929082
2994724,0.18186101,9.6912775,0.040679436
,0.2368979,9.6003475,0.08135887
,0.18664683,9.638634,0.055036888
,0.20339718,9.574025,0.10050214
,0.19382556,9.605133,0.07418015
,0.19861138,9.626669,0.009571632
,0.24886245,9.650599,0.043072347
,0.18664683,9.607526,0.019143265
2994762,0.23211208,9.605133,0.06460852
,0.2943277,9.674527,0.052643977
,0.24168372,9.643419,0.021536173
,0.21296883,9.655384,0.057429794
,0.28236315,9.626669,0.023929082
