Time,x,y,z
0,0.677193,9.68,0.28714898
0.004807692,0.2919348,9.74,0.19621846
0.009615385,0.19861138,9.74,0.27518442
0.014423077,0.37329367,9.87,0.30389932
0.019230769,0.35415038,9.92,0.34697166
0.024038462,0.48097453,10.00,0.3278284
0.028846154,0.4091873,10.12,0.39482984
0.033653846,0.38765112,10.22,0.39482984
0.038461538,0.5240469,10.20,0.45465255
0.043269231,0.48815325,10.26,0.5001178
0.048076923,0.48815325,10.32,0.4977249
0.052884615,0.48576033,10.38,0.57908374
0.057692308,0.45943835,10.44,0.5695121
0.0625,0.4498667,10.46,0.57429796
0.067307692,0.42115182,10.47,0.61497736
0.072115385,0.51208234,10.56,0.80162424
0.076923077,0.48097453,10.53,0.650871
0.081730769,0.54079723,10.56,0.7106937
0.086538462,0.5144752,10.58,0.72505116
0.091346154,0.5431901,10.58,0.71787244
0.096153846,0.5025107,10.62,0.64369226
0.100961538,0.49054617,10.63,0.6006199
0.105769231,0.571905,10.60,0.7896597
0.110576923,0.5551547,10.56,0.77290934
0.115384615,0.47618872,10.53,0.8183746
0.120192308,0.34697166,10.43,0.7441944
0.125,0.40679437,10.36,0.6532639
0.129807692,0.37568656,10.31,0.7202653
0.134615385,0.34936458,10.27,0.7106937
0.139423077,0.21296883,10.24,0.72744405
0.144230769,0.18186101,10.20,0.74658734
0.149038462,0.1459674,10.14,0.80880296
0.153846154,0.19861138,10.03,0.8518753
0.158653846,0.15553902,10.00,0.75855184
0.163461538,-0.026321989,10.01,0.80162424
0.168269231,0.24407662,9.96,0.69633627
0.173076923,0.22493336,9.96,0.60301286
0.177884615,0.31586388,9.96,0.72983694
0.182692308,0.31825677,9.94,0.5288327
0.1875,0.5264398,9.94,0.4977249
0.192307692,0.43550926,9.93,0.5910483
0.197115385,0.63412064,9.94,0.45465255
0.201923077,0.5599405,9.93,0.51926106
0.206730769,0.47140288,10.07,0.67001426
0.211538462,0.6867646,10.15,0.7202653
0.216346154,0.6173703,10.18,0.57669085
0.221153846,0.7394086,10.29,0.48815325
0.225961538,0.54558307,10.40,0.53840435
0.230769231,0.4498667,10.42,0.49293905
0.235576923,0.5144752,10.47,0.5886554
0.240384615,0.51926106,10.49,0.43311638
0.245192308,0.5336185,10.49,0.6748001
0.25,0.13878867,10.43,0.5336185
0.254807692,0.72744405,10.55,0.40679437
0.259615385,0.4091873,10.53,0.46422416
0.264423077,-0.09571633,10.52,0.5025107
0.269230769,0.5168682,10.38,0.4091873
0.274038462,0.8518753,10.29,0.50968945
0.278846154,0.5072965,10.20,0.5814767
0.283653846,0.8710185,10.20,0.5431901
0.288461538,1.2132044,10.18,0.6676214
0.293269231,0.86862564,10.26,0.75376606
0.298076923,0.83751786,10.21,0.78487384
0.302884615,1.1246668,10.26,0.5886554
0.307692308,1.093559,10.25,0.75376606
0.3125,0.86623275,10.29,0.703515
0.317307692,0.35415038,10.43,0.7130866
0.322115385,0.8638398,10.39,0.6101916
0.326923077,0.60301286,10.41,0.55754757
0.331730769,0.60301286,10.39,0.5336185
0.336538462,0.25604117,10.36,0.5623334
0.341346154,0.2919348,10.26,0.5934412
0.346153846,0.1459674,10.31,0.4785816
0.350961538,0.047858164,10.32,0.4402951
0.355769231,0.071787246,10.30,0.35893622
0.360576923,0.03828653,10.22,0.30150643
0.365384615,0.09810923,10.16,0.2632199
0.370192308,0.14118157,9.76,0.22254045
0.375,0.208183,9.72,0.24407662
0.379807692,0.21536173,9.80,0.20100428
0.384615385,0.16750357,9.75,0.13639577
0.389423077,0.2680057,9.53,0.15553902
0.394230769,0.5001178,9.32,0.09571633
0.399038462,0.4091873,9.00,0.16511066
0.403846154,0.57429796,8.69,0.016750356
0.408653846,0.69155043,8.58,0.107680865
0.413461538,0.63651353,8.26,0.052643977
0.418269231,0.6676214,8.05,-0.028714897
0.423076923,0.6006199,7.95,0.004785816
0.427884615,0.6389065,7.71,-0.03828653
0.432692308,0.5551547,7.21,-0.057429794
0.4375,0.6006199,6.42,-0.09093051
0.442307692,0.6389065,6.20,-0.035893623
0.447115385,0.61497736,6.33,0.055036888
0.451923077,0.5264398,6.46,0.023929082
0.456730769,0.5144752,6.13,0.105287954
0.461538462,0.5144752,5.78,0.08375178
0.466346154,0.5025107,5.55,0.16511066
0.471153846,0.5025107,5.27,0.15314612
0.475961538,0.6269419,4.99,0.20339718
0.480769231,0.571905,4.73,0.28236315
0.485576923,0.5886554,4.46,0.24646953
0.490384615,0.6795859,4.33,0.28954187
0.495192308,0.72505116,4.25,0.30629224
0.5,0.73701566,4.20,0.36850783
0.504807692,0.7489802,4.19,0.42115182
0.509615385,0.90691215,4.25,0.37807947
0.514423077,0.7130866,4.29,0.42593765
0.519230769,0.67240715,4.04,0.5168682
0.524038462,0.8566611,4.23,0.25604117
0.528846154,0.87819725,4.60,0.46661708
0.533653846,0.96434194,4.37,0.39004403
0.538461538,0.7776951,4.21,0.48815325
0.543269231,0.5838696,3.97,0.63172776
0.548076923,0.53840435,3.55,0.48576033
0.552884615,0.73701566,3.51,0.3230426
0.557692308,0.75376606,3.74,0.46901
0.5625,0.7441944,3.36,0.5144752
0.567307692,0.4977249,3.13,0.48336744
0.572115385,0.5886554,3.09,0.5838696
0.576923077,0.70112205,3.12,0.36372203
0.581730769,0.49533197,3.08,0.43311638
0.586538462,0.51926106,3.13,0.4402951
0.591346154,0.6293348,3.31,0.45465255
0.596153846,0.3828653,3.42,0.5240469
0.600961538,0.34697166,3.52,0.60779864
0.605769231,0.5527618,3.52,0.3230426
0.610576923,0.4977249,3.27,0.24407662
0.615384615,0.5934412,3.40,0.36611494
0.620192308,0.234505,3.63,0.41875893
0.625,0.2656128,3.69,0.28954187
0.629807692,0.8040171,3.69,0.46661708
0.634615385,0.43550926,3.69,0.22014755
0.639423077,0.84230363,3.91,0.6101916
0.644230769,0.7106937,4.14,0.5001178
0.649038462,0.59583414,3.90,0.4091873
0.653846154,0.5144752,3.76,0.46901
0.658653846,0.55036885,3.61,0.47140288
0.663461538,0.5623334,3.87,0.4402951
0.668269231,0.3828653,3.79,0.43072346
0.673076923,0.234505,3.93,0.416366
0.677884615,0.66044265,3.97,0.5240469
0.682692308,0.9164838,4.03,0.5934412
0.6875,0.6795859,3.79,0.49293905
0.692307692,0.78487384,3.76,0.48576033
0.697115385,1.0002356,4.08,0.63412064
0.701923077,0.7202653,4.36,0.45465255
0.706730769,0.84230363,4.39,0.5599405
0.711538462,0.7394086,4.52,0.55036885
0.716346154,0.84230363,4.68,0.48336744
0.721153846,0.7059079,4.37,0.60540575
0.725961538,0.7776951,4.42,0.5886554
0.730769231,0.8255533,4.47,0.63412064
0.735576923,0.832732,4.69,0.6389065
0.740384615,0.8231604,4.59,0.6843717
0.745192308,0.78248096,4.49,0.6293348
0.75,0.703515,4.92,0.6652284
0.754807692,0.7705164,4.86,0.6652284
0.759615385,0.7489802,4.82,0.80162424
0.764423077,0.7418015,5.23,0.7609448
0.769230769,0.8040171,5.78,0.72505116
0.774038462,0.78008807,5.91,0.7130866
0.778846154,0.75615895,5.98,0.6819788
0.783653846,0.7441944,5.58,0.67001426
0.788461538,0.77530223,5.44,0.598227
0.793269231,0.7202653,5.45,0.63412064
0.798076923,0.75615895,5.92,0.63412064
0.802884615,0.703515,5.61,0.60301286
0.807692308,0.69155043,5.97,0.55036885
