x (cm) Run #1,y (cm) Run #1,x (cm) Run #2,y (cm) Run #2,x (cm) Run #3,y (cm) Run #3,x (cm) Run #4,y (cm) Run #4
17.2,15.13,15.53,15.1,15.75,16.71,14.71,13.82
17.2,15.13,15.53,15.12,15.77,16.7,14.73,13.82
17.21,15.14,15.53,15.14,15.79,16.69,14.72,13.8
17.2,15.14,15.53,15.16,15.82,16.68,14.72,13.79
17.22,15.14,15.53,15.18,15.83,16.67,14.73,13.78
17.23,15.13,15.52,15.19,15.86,16.66,14.72,13.77
17.23,15.15,15.53,15.21,15.89,16.65,14.72,13.76
17.24,15.15,15.53,15.24,15.91,16.64,14.72,13.74
17.25,15.15,15.52,15.27,15.95,16.62,14.72,13.74
17.25,15.15,15.53,15.29,15.97,16.61,14.72,13.72
17.26,15.16,15.52,15.32,16.01,16.61,14.72,13.71
17.27,15.15,15.54,15.35,16.02,16.58,14.71,13.7
17.28,15.16,15.55,15.37,16.06,16.59,14.71,13.69
17.28,15.16,15.53,15.41,16.09,16.57,14.71,13.68
17.28,15.16,15.54,15.43,16.13,16.54,14.71,13.66
17.3,15.18,15.53,15.47,16.15,16.54,14.7,13.67
17.29,15.17,15.54,15.49,16.18,16.53,14.71,13.66
17.3,15.18,15.55,15.52,16.2,16.5,14.7,13.65
17.3,15.18,15.54,15.56,16.24,16.49,14.7,13.66
17.31,15.17,15.55,15.58,16.26,16.47,14.69,13.65
17.31,15.18,15.56,15.6,16.27,16.46,14.7,13.65
17.31,15.18,15.56,15.64,16.29,16.42,14.69,13.64
17.32,15.17,15.56,15.66,16.32,16.42,14.68,13.63
17.33,15.18,15.58,15.69,16.35,16.39,14.68,13.64
17.34,15.18,15.58,15.72,16.37,16.37,14.7,13.64
17.34,15.19,15.59,15.75,16.4,16.34,14.69,13.62
17.35,15.2,15.6,15.77,16.42,16.33,14.7,13.63
17.34,15.18,15.6,15.8,16.45,16.31,14.69,13.62
17.34,15.19,15.61,15.83,16.47,16.29,14.69,13.63
17.35,15.2,15.62,15.85,16.5,16.25,14.7,13.63
17.34,15.19,15.63,15.89,16.53,16.23,14.7,13.61
17.35,15.19,15.64,15.9,16.55,16.21,14.71,13.62
17.35,15.19,15.64,15.92,16.58,16.19,14.71,13.62
17.37,15.2,15.66,15.96,16.6,16.15,14.72,13.62
17.37,15.2,15.68,15.97,16.63,16.14,14.72,13.62
17.36,15.2,15.69,16,16.64,16.13,14.73,13.63
