PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0,817012152,0.623814,-0.147706,-0.742834,-0.192975,0,0,0,0,0,0,-0.462402344,-0.354492188,0.888427734
1,817020485,0.623777,-0.147815,-0.742819,-0.193068,9.674743652,0.919878304,-1.507564187,-1.799323082,-0.99872458,0.540524364,-0.462402344,-0.352539063,0.888916016
2,817028818,0.623723,-0.147927,-0.742819,-0.193156,9.636590004,0.92233187,-1.59197557,-1.77122426,-1.330454588,0.534991682,-0.463867188,-0.354492188,0.890380859
3,817037151,0.623669,-0.148031,-0.742823,-0.193232,9.705526352,0.940515757,-1.697299361,-1.74135828,-1.106176257,0.285970122,-0.462402344,-0.354980469,0.889892578
4,817045484,0.623657,-0.148134,-0.742783,-0.193351,9.739346504,0.954709351,-1.623413682,-2.02524066,-0.458597273,0.371829033,-0.462890625,-0.354980469,0.891601563
5,817053817,0.623646,-0.148252,-0.742743,-0.193444,9.683994293,0.911459088,-1.563503385,-2.038637161,-0.321100026,0.507251501,-0.461914063,-0.352539063,0.889404297
6,817062150,0.623637,-0.148331,-0.74271,-0.193542,9.668719292,0.897066534,-1.538698196,-1.58001399,-0.47035414,0.303362161,-0.4609375,-0.35546875,0.889892578
7,817070483,0.623611,-0.148383,-0.742707,-0.193598,9.725570679,0.923782527,-1.474751711,-0.893527031,-0.921190321,0.281077802,-0.463378906,-0.35546875,0.890380859
8,817078816,0.623601,-0.148436,-0.7427,-0.193617,9.799602509,0.945591509,-1.520300984,-0.632338583,-0.554625094,0.397340834,-0.461914063,-0.354980469,0.889404297
9,817087149,0.62369,-0.148477,-0.742611,-0.193641,9.81860733,0.92471236,-1.652399659,-0.605264366,1.182929277,0.692160666,-0.463867188,-0.354003906,0.890380859
10,817095482,0.623882,-0.148496,-0.742428,-0.193707,9.784173965,0.873475194,-1.730658174,-0.726522088,2.966627836,0.797025323,-0.463867188,-0.354492188,0.889404297
11,817103815,0.624098,-0.148508,-0.742234,-0.193749,9.775443077,0.904176474,-1.681113362,-0.534748495,3.458062887,0.831502199,-0.462890625,-0.355957031,0.888427734
12,817112148,0.624295,-0.148488,-0.74206,-0.193794,9.777817726,0.925185859,-1.572264194,-0.152507141,3.003205061,0.584094226,-0.462402344,-0.35546875,0.888916016
13,817120481,0.624429,-0.148461,-0.741952,-0.193797,9.758663177,0.950039446,-1.494273782,0.253516912,1.923283339,0.359149992,-0.463867188,-0.35546875,0.886962891
14,817128814,0.624526,-0.14845,-0.741857,-0.193856,9.76458931,0.978108346,-1.418594718,-0.36487478,1.304238439,0.125010267,-0.463378906,-0.355957031,0.889404297
15,817137147,0.624602,-0.148452,-0.741777,-0.193916,9.769952774,0.996168971,-1.406341791,-0.491870195,0.932370901,0.160511613,-0.462890625,-0.35546875,0.885986328
16,817145480,0.624651,-0.148441,-0.741734,-0.193934,9.755460739,1.040695667,-1.443007231,-0.048205994,0.493138075,0.016021704,-0.465332031,-0.35546875,0.886962891
17,817153813,0.624687,-0.148411,-0.7417,-0.193967,9.744847298,1.027691841,-1.44113338,0.104672574,0.157361045,-0.129403114,-0.463867188,-0.35546875,0.886962891
18,817162146,0.624698,-0.148427,-0.741675,-0.194016,9.73069191,1.010632277,-1.403151751,-0.612077773,-0.057657644,-0.123486221,-0.462402344,-0.354492188,0.886474609
19,817170479,0.624703,-0.148465,-0.741644,-0.19409,9.692080498,0.997735798,-1.413237572,-1.107508302,-0.057017285,-0.107784696,-0.461914063,-0.354980469,0.887451172
20,817178812,0.624702,-0.14851,-0.741606,-0.194203,9.663455009,0.98402375,-1.387086749,-1.452557683,-0.223919675,-0.15097031,-0.464355469,-0.354003906,0.888427734
21,817187145,0.624681,-0.148565,-0.741589,-0.194292,9.646152496,0.921651065,-1.363059759,-1.443234205,-0.458930284,-0.165877804,-0.465332031,-0.354492188,0.887939453
22,817195478,0.62465,-0.148612,-0.741577,-0.1944,9.593914986,0.896508753,-1.349061966,-1.41411078,-0.766582847,-0.219616443,-0.463378906,-0.354003906,0.886474609
23,817203811,0.624593,-0.148672,-0.74159,-0.194494,9.572515488,0.846271098,-1.360996485,-1.479657412,-1.095879436,-0.321842879,-0.465332031,-0.353515625,0.888427734
24,817212144,0.624524,-0.148718,-0.741608,-0.194607,9.607681274,0.814189553,-1.355993867,-1.445257545,-1.395950079,-0.42780894,-0.462402344,-0.357421875,0.885009766
25,817220477,0.624434,-0.148762,-0.741644,-0.194724,9.632178307,0.797525406,-1.418085814,-1.464468122,-1.753908992,-0.587359965,-0.46484375,-0.354980469,0.886474609
26,817228810,0.624329,-0.148799,-0.741702,-0.194812,9.698013306,0.794351757,-1.43754375,-1.344926834,-1.947347999,-0.685488224,-0.462402344,-0.356445313,0.885986328
27,817237143,0.624222,-0.148826,-0.741761,-0.194909,9.727397919,0.801929235,-1.448534131,-1.084814072,-2.118860722,-0.678393006,-0.462402344,-0.354980469,0.886962891
28,817245476,0.624099,-0.148859,-0.741836,-0.194995,9.748197556,0.843816817,-1.452071786,-1.100233912,-2.242013931,-0.850648701,-0.464355469,-0.356933594,0.887451172
29,817253809,0.623982,-0.148879,-0.741908,-0.19508,9.749119759,0.891976893,-1.470846772,-1.052668095,-2.13361454,-0.917732418,-0.462402344,-0.354492188,0.889892578
30,817262142,0.623866,-0.148877,-0.741978,-0.195184,9.758350372,0.909645259,-1.47173965,-0.903490901,-2.217373133,-1.079640031,-0.462890625,-0.357910156,0.889404297
31,817270475,0.623754,-0.148887,-0.742054,-0.195251,9.77271843,0.938241899,-1.488627315,-0.708925128,-2.140607357,-0.865863562,-0.464355469,-0.357421875,0.888916016
32,817278808,0.623668,-0.148886,-0.742107,-0.195322,9.742202759,0.950138867,-1.49161756,-0.557468176,-1.831699491,-0.672860265,-0.462890625,-0.357910156,0.887451172
