Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s),Magnetic Field X (uT),Magnetic Field Y (uT),Magnetic Field Z (uT),Orientation Quaternion Scalar,Orientation Quaternion X,Orientation Quaternion Y,Orientation Quaternion Z
-9.771768,0.324261,0.541748,0.052996,-0.054217,-0.017501,20.689129,-37.957862,59.765891,0.692215,-0.182466,0.663862,0.216407
-9.788798,0.292611,0.535325,0.054748,-0.052562,-0.031505,21.15232,-38.293801,59.805341,0.692199,-0.182552,0.663834,0.21647
-9.809472,0.250228,0.532743,0.062243,-0.049878,-0.032391,20.992277,-38.122111,59.787132,0.692188,-0.182641,0.663813,0.216496
-9.791388,0.265833,0.535015,0.076102,-0.041806,-0.030581,20.976243,-37.982287,59.964283,0.692176,-0.182706,0.663814,0.216476
-9.79613,0.303273,0.541943,0.090095,-0.03597,-0.029135,20.846858,-37.97086,59.797576,0.692149,-0.182702,0.663855,0.216437
-9.805139,0.301407,0.56225,0.090133,-0.037769,-0.030871,20.982462,-38.14648,59.958655,0.692139,-0.182703,0.663879,0.216397
-9.789573,0.325862,0.573485,0.079316,-0.042435,-0.030909,20.695711,-37.967114,59.778911,0.692152,-0.18271,0.663864,0.216394
-9.790045,0.357636,0.589252,0.079281,-0.035983,-0.029307,20.528526,-37.823523,59.937428,0.692133,-0.182704,0.663884,0.216401
-9.778862,0.349594,0.602604,0.06372,-0.036936,-0.027507,20.690445,-37.959712,59.768495,0.692095,-0.182746,0.663897,0.216448
-9.755249,0.334676,0.578071,0.051508,-0.036101,-0.026534,20.529836,-37.825368,59.940039,0.692034,-0.182828,0.663912,0.216526
-9.763776,0.303572,0.533099,0.036146,-0.039571,-0.02363,20.532039,-37.984006,59.92657,0.691964,-0.182947,0.663912,0.216652
-9.788919,0.252181,0.505734,0.048224,-0.030647,-0.032776,20.690028,-38.114619,59.749809,0.691886,-0.183071,0.663939,0.21671
-9.847769,0.221849,0.530538,0.060679,-0.035688,-0.029414,20.676626,-37.978497,59.932182,0.691836,-0.183161,0.663957,0.216739
-9.848516,0.276584,0.523823,0.079218,-0.031049,-0.030909,20.693977,-38.120188,59.757619,0.691788,-0.183203,0.664003,0.216716
-9.796544,0.323435,0.539645,0.080726,-0.022882,-0.024329,20.392111,-37.957771,59.73898,0.691713,-0.183212,0.664081,0.216711
-9.741693,0.31045,0.530562,0.077537,-0.020771,-0.022453,20.539738,-37.801059,59.768519,0.691627,-0.183229,0.664164,0.216716
-9.748436,0.32016,0.600472,0.073024,-0.030681,-0.020978,20.676626,-37.978497,59.932182,0.691581,-0.183239,0.664199,0.216746
-9.831177,0.344389,0.580154,0.052944,-0.027763,-0.026388,20.375658,-37.972856,59.897466,0.691503,-0.183321,0.664236,0.216813
-9.818366,0.403188,0.555389,0.048391,-0.040528,-0.023042,20.845119,-38.123934,59.776283,0.691448,-0.183389,0.664241,0.216914
-9.782593,0.309606,0.537408,0.049925,-0.037209,-0.018077,20.828249,-38.293943,59.91608,0.691383,-0.183456,0.664258,0.217014
-9.738856,0.274102,0.519302,0.043573,-0.023946,-0.019656,20.689194,-38.424432,59.712437,0.691278,-0.183559,0.664305,0.217116
-9.807593,0.2845,0.546304,0.052901,-0.027193,-0.014608,20.523346,-38.282725,59.873535,0.691187,-0.18362,0.664353,0.217209
-9.832889,0.313181,0.481128,0.051507,-0.034388,-0.02158,20.847346,-38.282583,59.762801,0.691114,-0.183696,0.66438,0.217291
-9.791435,0.303733,0.465448,0.056107,-0.025026,-0.026649,20.713964,-38.265611,59.588233,0.691024,-0.183783,0.664434,0.217339
-9.814055,0.255102,0.505751,0.055973,-0.025694,-0.01954,20.388667,-38.263895,59.696401,0.690935,-0.183855,0.664485,0.217404
-9.828932,0.325672,0.45843,0.05911,-0.031998,-0.014469,20.825189,-38.44513,59.892173,0.690854,-0.183894,0.664533,0.217483
-9.812749,0.337565,0.48561,0.0715,-0.024619,-0.022902,20.845607,-38.435651,59.741509,0.690774,-0.183925,0.664601,0.217503
-9.785145,0.297239,0.494431,0.074432,-0.023861,-0.024037,20.839414,-38.271409,59.747181,0.6907,-0.183958,0.664669,0.217506
-9.783056,0.346184,0.535198,0.05919,-0.030905,-0.016422,20.677589,-38.60192,59.862649,0.690629,-0.183995,0.664707,0.217582
-9.792499,0.348068,0.487796,0.056019,-0.027384,-0.016309,20.707862,-38.568002,59.540474,0.690541,-0.184046,0.664758,0.217662
-9.801831,0.364361,0.467557,0.054505,-0.031005,-0.027992,20.542418,-38.271365,59.720267,0.690469,-0.184126,0.664793,0.217716
-9.817307,0.302272,0.474123,0.055929,-0.030335,-0.025934,20.402092,-38.39999,59.514055,0.690398,-0.184207,0.664828,0.217766
-9.780889,0.296378,0.462767,0.07589,-0.025025,-0.025371,20.517215,-38.118529,59.879174,0.690327,-0.184241,0.664895,0.217757
