Time (s) Auto,FN
0,865.37
0.002,865.77
0.004,866.11
0.006,865.89
0.008,866.05
0.01,865.78
0.012,865.91
0.014,866.01
0.016,865.84
0.018,866.33
0.02,865.94
0.022,865.78
0.024,865.83
0.026,865.77
0.028,865.42
0.03,865.47
0.032,865.28
0.034,864.94
0.036,864.78
0.038,864.64
0.04,864.05
0.042,863.91
0.044,863.42
0.046,863.12
0.048,863.33
0.05,863.21
0.052,863.05
0.054,862.8
0.056,862.72
0.058,862.71
0.06,862.85
0.062,862.9
0.064,862.68
0.066,863.32
0.068,863.1
0.07,863.18
0.072,863.72
0.074,863.74
0.076,864.73
0.078,864.57
0.08,864.95
0.082,865.46
0.084,866.11
0.086,866.33
0.088,866.62
0.09,867.3
0.092,867.97
0.094,868.75
0.096,869.13
0.098,869.77
0.1,869.45
0.102,869.85
0.104,870.31
0.106,870.67
0.108,870.47
0.11,869.8
0.112,870.55
0.114,869.87
0.116,869.61
0.118,869.25
0.12,869.52
0.122,868.93
0.124,868.7
0.126,868.24
0.128,868.17
0.13,868.19
0.132,867.53
0.134,867.11
0.136,867.35
0.138,866.53
0.14,866.61
0.142,866.74
0.144,866.63
0.146,866.35
0.148,866.02
0.15,866.16
0.152,866.37
0.154,866.15
0.156,866.72
0.158,866.66
0.16,866.71
0.162,866.76
0.164,867.28
0.166,866.89
0.168,866.79
0.17,867.62
0.172,867.38
0.174,867.88
0.176,868.04
0.178,867.79
0.18,868.28
0.182,867.52
0.184,868.22
0.186,867.51
0.188,867.89
0.19,867.78
0.192,867.29
0.194,867.57
0.196,866.54
0.198,866.53
0.2,865.99
0.202,865.69
0.204,865.64
0.206,865.26
0.208,864.61
0.21,863.57
0.212,863.12
0.214,862.84
0.216,862.9
0.218,861.98
0.22,861.61
0.222,861.34
0.224,860.58
0.226,859.72
0.228,859.36
0.23,859.13
0.232,858.56
0.234,858.92
0.236,858.35
0.238,858.33
0.24,858.65
0.242,858.93
0.244,858.66
0.246,859.13
0.248,859.39
0.25,859.84
0.252,860.4
0.254,860.24
0.256,861.16
0.258,861.19
0.26,861.63
0.262,862.11
0.264,862.76
0.266,863.4
0.268,864.19
0.27,864.27
0.272,864.43
0.274,864.67
0.276,865.49
0.278,865.13
0.28,865.66
0.282,866.02
0.284,865.85
0.286,866.49
0.288,866.31
0.29,866.52
0.292,866.35
0.294,866.74
0.296,866.63
0.298,866.71
0.3,866.41
0.302,866.54
0.304,866.57
0.306,866.65
0.308,866.46
0.31,866.89
0.312,866.59
0.314,866.54
0.316,866.86
0.318,866.84
0.32,867.09
0.322,867.22
0.324,866.68
0.326,867.03
0.328,867.01
0.33,866.8
0.332,866.74
0.334,866.77
0.336,866.88
0.338,866.86
0.34,866.49
0.342,866.57
0.344,865.95
0.346,866.17
0.348,866.01
0.35,865.68
0.352,866.04
0.354,865.85
0.356,865.59
0.358,865.29
0.36,866.02
0.362,865.73
0.364,865.97
0.366,865.98
0.368,865.76
0.37,866.09
0.372,865.8
0.374,866.1
0.376,865.78
0.378,866.31
0.38,866.04
0.382,866.26
0.384,865.97
0.386,866.16
0.388,866.19
0.39,866.7
0.392,866.24
0.394,866.11
0.396,866.22
0.398,866.28
0.4,866.5
0.402,866.49
0.404,866.56
0.406,866.56
0.408,866.12
0.41,865.89
0.412,865.86
0.414,866.08
0.416,866.19
0.418,866.05
0.42,865.55
0.422,865.52
0.424,865.9
0.426,865.55
0.428,865.75
0.43,865.75
0.432,865.43
0.434,865.38
0.436,865.44
0.438,865.72
0.44,865.07
0.442,865.13
0.444,865.32
0.446,864.13
0.448,864.81
0.45,864.49
0.452,864.66
0.454,864.67
0.456,864.59
0.458,864.65
0.46,864.32
0.462,864.06
0.464,864.14
0.466,863.88
0.468,864.17
0.47,864.04
0.472,863.67
0.474,863.99
0.476,863.62
0.478,863.54
0.48,863.3
0.482,863.01
0.484,863.47
0.486,863.36
0.488,863.2
0.49,863.72
0.492,863.62
0.494,863.38
0.496,863.84
0.498,863.77
0.5,863.47
0.502,863.88
0.504,864.27
0.506,864.43
0.508,864.55
0.51,864.71
0.512,864.74
0.514,864.85
0.516,864.64
0.518,865.02
0.52,865.13
0.522,865.97
0.524,865.62
0.526,866.49
0.528,865.65
0.53,866.25
0.532,865.7
0.534,866.3
0.536,866.22
0.538,866.35
0.54,865.54
0.542,866.57
0.544,866.76
0.546,866.22
0.548,866.06
0.55,865.71
0.552,865.65
0.554,865.24
0.556,864.79
0.558,864.95
0.56,864.87
0.562,864.49
0.564,864.17
0.566,864.2
0.568,864.5
0.57,864.39
0.572,864.34
0.574,864.02
0.576,863.97
0.578,863.75
0.58,863.78
0.582,863.64
0.584,863.76
0.586,863.95
0.588,864.01
0.59,863.68
0.592,864.74
0.594,864.55
0.596,864.2
0.598,864.44
0.6,864.31
0.602,864.61
0.604,864.07
0.606,864.39
0.608,863.99
0.61,864.1
0.612,863.94
0.614,863.7
0.616,864.24
0.618,863.84
0.62,863.82
0.622,863.82
0.624,863.82
0.626,863.93
0.628,863.14
0.63,863.86
0.632,863.56
