Time,FN
0,670.1806379
0.001,672.3056379
0.002,670.5400129
0.003,672.6493879
0.004,672.6650129
0.005,671.6025129
0.006,670.5243879
0.007,675.1493879
0.008,674.0712629
0.009,671.9618879
0.01,674.8056379
0.011,673.7431379
0.012,673.0087629
0.013,673.7275129
0.014,672.6650129
0.015,675.1650129
0.016,675.8993879
0.017,673.7431379
0.018,676.2431379
0.019,674.4618879
0.02,676.9618879
0.021,677.9931379
0.022,673.3993879
0.023,674.8212629
0.024,679.0868879
0.025,680.1650129
0.026,677.3056379
0.027,678.7431379
0.028,680.5087629
0.029,679.4462629
0.03,680.8525129
0.031,680.5243879
0.032,681.2118879
0.033,681.5400129
0.034,680.8837629
0.035,683.3368879
0.036,682.3056379
0.037,682.9931379
0.038,683.3525129
0.039,684.4150129
0.04,684.0868879
0.041,685.4931379
0.042,684.4150129
0.043,685.1337629
0.044,689.0556379
0.045,685.8368879
0.046,684.7900129
0.047,687.2743879
0.048,689.4150129
0.049,686.8993879
0.05,687.6181379
0.051,690.1181379
0.052,686.8993879
0.053,690.8212629
0.054,689.0712629
0.055,690.4618879
0.056,691.1962629
0.057,689.7587629
0.058,691.2118879
0.059,694.0400129
0.06,692.9618879
0.061,692.9775129
0.062,692.9462629
0.063,692.2275129
0.064,694.0400129
0.065,692.6025129
0.066,692.6025129
0.067,695.1025129
0.068,694.7587629
0.069,693.3212629
0.07,694.7431379
0.071,694.3837629
0.072,694.7587629
0.073,692.9306379
0.074,693.3368879
0.075,694.7587629
0.076,694.7275129
0.077,695.7900129
0.078,696.1650129
0.079,694.3837629
0.08,693.6650129
0.081,694.3681379
0.082,697.5712629
0.083,695.4775129
0.084,695.0868879
0.085,695.7900129
0.086,694.7275129
0.087,698.6650129
0.088,697.5712629
0.089,697.1962629
0.09,697.2431379
0.091,697.5712629
0.092,695.7900129
0.093,694.7275129
0.094,695.4462629
0.095,696.8837629
0.096,699.7118879
0.097,695.8212629
0.098,696.1337629
0.099,697.2275129
0.1,697.9462629
0.101,696.4931379
