PacketCounter,Time(ms),x,y,z,Gyr_X,Gyr_Y,Gyr_Z
0,61934.243,-0.716497779,9.454674253,7.321921349,-2.967806339,1.861053705,-3.039141893
1,61942.576,-0.771413028,9.458370218,7.342204094,-2.670399189,2.046500683,-2.878924847
2,61950.909,-0.730820894,9.458902368,7.384713173,-2.560309172,1.949627161,-2.591558695
3,61959.242,-0.659485221,9.506590376,7.397857189,-2.7988801,1.976291776,-2.28510952
4,61967.575,-0.649019718,9.542450914,7.423532963,-2.945880175,2.051264524,-1.811989188
5,61975.908,-0.702414751,9.509263048,7.41132021,-3.051001072,2.254001379,-1.079140425
6,61984.241,-0.772526622,9.493246088,7.405986786,-2.775136232,2.065557718,-0.570365012
7,61992.574,-0.837449908,9.430512914,7.422128201,-2.60818243,2.031874895,-0.112126306
8,62000.907,-0.877724588,9.408336649,7.441435337,-2.148714066,1.980287671,0.263416767
9,62009.24,-0.858920693,9.410124788,7.461203575,-1.804484606,1.776834011,0.228171617
10,62017.573,-0.836583674,9.411888132,7.445202351,-1.667358637,1.88319695,0.163098618
11,62025.906,-0.763666511,9.468261251,7.436674595,-1.274346471,1.853394747,0.221614346
12,62034.239,-0.822629035,9.39910985,7.455342293,-1.191996932,1.743561029,0.026331436
13,62042.572,-0.787001908,9.427300462,7.460986137,-0.875584185,1.80390799,-0.251237214
14,62050.905,-0.745414078,9.487047205,7.529742718,-0.485914826,1.820019364,-0.399364352
15,62059.238,-0.714390218,9.484436998,7.541835785,-0.17103906,1.621919036,-0.350492388
16,62067.571,-0.630687594,9.504415045,7.545541286,-0.075088128,1.589107037,-0.111947015
17,62075.904,-0.601959229,9.527957926,7.506987572,0.005276532,1.660135388,0.298149675
18,62084.237,-0.64167732,9.520141611,7.535885811,0.255168974,1.98502636,0.697885394
19,62092.57,-0.659217477,9.548767099,7.574761868,0.152327836,1.828805208,1.213961005
20,62100.903,-0.631298304,9.541784773,7.551486015,0.276300728,1.664515257,1.64282012
21,62109.236,-0.592315912,9.505233774,7.538719177,0.13465403,1.627605319,1.852677464
22,62117.569,-0.653681219,9.478256235,7.500931263,0.249943733,1.757136583,1.949371219
23,62125.902,-0.643531024,9.447846899,7.490215302,0.471225113,1.698070049,1.84430182
24,62134.235,-0.584207296,9.377782354,7.557990074,0.365592003,1.73587656,1.281761885
